"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","M_PART_NUMBER","Footprint","Datasheet"
"C1,C7,C10,C12,C14","5","0.1u","","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C3,C4","2","4.7u","","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C5,C6,C11,C13,C24","5","10u","","","","","ESP32_Peter_dalmaris:CAPMP3216X180N","https://content.kemet.com/datasheets/KEM_T2050_T491_AUTO.pdf,~"
"C9,C19","2","1u","","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C15,C16,C17,C21,C22,C23","6","100n","","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C18","1","10n","","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C20","1","100p","","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C25","1","4.7u","","","","","ESP32_Peter_dalmaris:CAPMP3216X180N","https://content.kemet.com/datasheets/KEM_T2050_T491_AUTO.pdf"
"D4,D7,D8","3","LTST-C170KGKT","","","","","ESP32_Peter_dalmaris:DIOC200X125X110",""
"D5","1","LTST-C170KRKT","","","","","ESP32_Peter_dalmaris:DIOC200X125X110",""
"D6,D9","2","LTST-C170KBKT","","","","","ESP32_Peter_dalmaris:DIOC200X125X110",""
"J1","1","SS-52400-003","","","","","ESP32_Peter_dalmaris:BELFUSE_SS-52400-003",""
"J2","1","B2B-PH-SM4-TB","","","","","ESP32_Peter_dalmaris:JST_B2B-PH-SM4-TB",""
"J3","1","GSD090012SEU","","","","","ESP32_Peter_dalmaris:AMPHENOL_GSD090012SEU",""
"J4","1","Conn_01x04_Pin","","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J5","1","Conn_01x05_Pin","","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
"MK1","1","CMC-5042PF-AC","","","","","ESP32_Peter_dalmaris:CUI_CMC-5042PF-AC",""
"Q1","1","TEMT6000X01","","","","","ESP32_Peter_dalmaris:TRANS_TEMT6000X01",""
"Q2,Q3","2","BC817","","","","","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BC818-D.pdf"
"R1,R2","2","5k1","","","","","Resistor_SMD:R_0805_2012Metric","~"
"R3","1","330k","","","","","Resistor_SMD:R_0805_2012Metric","~"
"R4","1","110k","","","","","Resistor_SMD:R_0805_2012Metric","~"
"R5,R26,R27","3","2k","","","","","Resistor_SMD:R_0805_2012Metric","~"
"R6","1","20k","","","","","Resistor_SMD:R_0805_2012Metric","~"
"R7,R8,R19,R25,R30,R32,R33,R34","8","10k","","","","","Resistor_SMD:R_0805_2012Metric","~"
"R9,R10,R11,R12,R16,R17","6","470","","","","","Resistor_SMD:R_0805_2012Metric","~"
"R13","1","1k","","","","","Resistor_SMD:R_0805_2012Metric","~"
"R14","1","22.1k","","","","","Resistor_SMD:R_0805_2012Metric","~"
"R15","1","47.5k","","","","","Resistor_SMD:R_0805_2012Metric","~"
"R18,R20,R21,R23","4","50","","","","","Resistor_SMD:R_0805_2012Metric","~"
"R22,R24","2","4.7k","","","","","Resistor_SMD:R_0805_2012Metric","~"
"R28,R29","2","1M","","","","","Resistor_SMD:R_0805_2012Metric","~"
"R31","1","100k","","","","","Resistor_SMD:R_0805_2012Metric","~"
"R35","1","0ZCJ0110FF2E","","","","","ESP32_Peter_dalmaris:0ZCJ0110FF2E",""
"S1","1","BOOT","","","","","ESP32_Peter_dalmaris:SW_TL3305AF260QG",""
"S2","1","RESET","","","","","ESP32_Peter_dalmaris:SW_TL3305AF260QG",""
"TP1","1","Test MOSI","","","","","TestPoint:TestPoint_Pad_D1.0mm","~"
"TP2","1","Test MISO","","","","","TestPoint:TestPoint_Pad_D1.0mm","~"
"TP3","1","Test SCLK","","","","","TestPoint:TestPoint_Pad_D1.0mm","~"
"TP4","1","Test CS_SD","","","","","TestPoint:TestPoint_Pad_D1.0mm","~"
"TP5","1","Test CS","","","","","TestPoint:TestPoint_Pad_D1.0mm","~"
"U1","1","MCP73871","","","","","Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm","http://www.mouser.com/ds/2/268/22090a-52174.pdf"
"U2","1","ESP32-C3-WROOM-02-H4","","","","","ESP32_Peter_dalmaris:MODULE_ESP32-C3-WROOM-02-H4",""
"U3","1","CP2102N-Axx-xQFN20","","","","","Package_DFN_QFN:SiliconLabs_QFN-20-1EP_3x3mm_P0.5mm_EP1.8x1.8mm","https://www.silabs.com/documents/public/data-sheets/cp2102n-datasheet.pdf"
"U4","1","USBLC6-2SC6","","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf"
"U5","1","W25Q32JVSSIQ","","","","W25QXX","ESP32_Peter_dalmaris:SOIC127P790X216-8N",""
"U6","1","BME280","","","","","Package_LGA:Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering","https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bme280-ds002.pdf"
"U7","1","MAX4466EXK","","","","","ESP32_Peter_dalmaris:SOT65P210X110-5N",""
"VR1","1","LM1117MPX-3.3","","","","","ESP32_Peter_dalmaris:VREG_LM1117MPX-3.3",""
